"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1267","ToVector3d","Robots.<invalid-global-code>.ToVector3d(Kdl.Vector)Vector3d","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Kinematics\FrankaKdlKinematics.cs","124","5","124","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1275","ToFrame","Robots.<invalid-global-code>.ToFrame(Transform)Kdl.Frame","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Kinematics\FrankaKdlKinematics.cs","126","5","136","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1280","FromJntArray","Robots.<invalid-global-code>.FromJntArray(Kdl.JntArray)double[]","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Kinematics\FrankaKdlKinematics.cs","138","5","147","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1282","ToJntArray","Robots.<invalid-global-code>.ToJntArray(double[])Kdl.JntArray","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Kinematics\FrankaKdlKinematics.cs","149","5","157","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1285","Finalize","Robots.<invalid-global-code>.~<invalid-global-code>()void","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Kinematics\FrankaKdlKinematics.cs","161","5","161","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1286","Dispose","Robots.<invalid-global-code>.Dispose()void","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Kinematics\FrankaKdlKinematics.cs","163","5","167","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1287","Dispose","Robots.<invalid-global-code>.Dispose(bool)void","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Kinematics\FrankaKdlKinematics.cs","169","5","182","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2123","Targets","Robots.<invalid-global-code>.Targets(int, out List<int>)string","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\PostProcessors\VAL3PostProcessor.cs","232","5","285","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2129","Tool","Robots.<invalid-global-code>.Tool(Robots.Tool)string","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\PostProcessors\VAL3PostProcessor.cs","287","5","302","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2131","Frame","Robots.<invalid-global-code>.Frame(Robots.Frame)string","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\PostProcessors\VAL3PostProcessor.cs","304","5","321","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2133","Speeds","Robots.<invalid-global-code>.Speeds(Dictionary<(Robots.Speed speed, Robots.Zone zone), string>)List<string>","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\PostProcessors\VAL3PostProcessor.cs","323","5","341","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2135","ProgramHeader","Robots.<invalid-global-code>.ProgramHeader(string)string","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\PostProcessors\VAL3PostProcessor.cs","343","5","348","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2137","ProgramFooter","Robots.<invalid-global-code>.ProgramFooter()string","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\PostProcessors\VAL3PostProcessor.cs","350","5","355","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2138","Start","Robots.<invalid-global-code>.Start(string)List<string>","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\PostProcessors\VAL3PostProcessor.cs","357","5","381","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2140","Stop","Robots.<invalid-global-code>.Stop(string)List<string>","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\PostProcessors\VAL3PostProcessor.cs","383","5","396","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2142","SubModule","Robots.<invalid-global-code>.SubModule(int, int, Dictionary<(Robots.Speed speed, Robots.Zone zone), string>, List<int>, string)List<string>","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\PostProcessors\VAL3PostProcessor.cs","398","5","497","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2782",".ctor","Robots.<invalid-global-code>.<invalid-global-code>()void","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Remotes\RemoteFranka.cs","166","17","166","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L215","get_Default","Robots.Command.Default.getRobots.Command","L211","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Commands\Command.cs","5","37","5","41","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L249",".ctor","Robots.Command.Command(string?)void","L211","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Commands\Command.cs","10","5","10","60","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L260","ErrorChecking","Robots.Command.ErrorChecking(Robots.RobotSystem)void","L211","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Commands\Command.cs","12","5","12","70","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L262","Populate","Robots.Command.Populate()void","L211","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Commands\Command.cs","13","5","13","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L263","get_RunBefore","Robots.Command.RunBefore.getbool","L211","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Commands\Command.cs","14","29","14","33","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L269","set_RunBefore","Robots.Command.RunBefore.setvoid","L211","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Commands\Command.cs","14","34","14","38","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L271","Flatten","Robots.Command.Flatten()IEnumerable<Robots.Command>","L211","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Commands\Command.cs","15","5","19","6","0","0","0","0","0","0","0","0","0","0","0","5","5","2","0","0","0","1","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L285","Declaration","Robots.Command.Declaration(Robots.Program)string","L211","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Commands\Command.cs","21","5","37","6","0","0","0","0","0","0","0","0","0","0","0","13","17","3","0","0","0","4","10","1","0","0","13","17","10","0","0","0","0","0","0","0","0","0","0","0"
"L300","Code","Robots.Command.Code(Robots.Program, Robots.Target)string","L211","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Commands\Command.cs","39","5","52","6","0","0","0","0","0","0","0","0","0","0","0","10","14","3","0","0","0","4","7","2","0","0","10","14","7","0","0","0","0","0","0","0","0","0","0","0"
"L663","Map","Robots.Vector6d.Map<T>(T[], Func<T, double>)Robots.Vector6d","L659","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Geometry\Vector6d.cs","8","5","19","6","0","0","0","0","0","0","0","1","1","0","0","9","12","3","0","0","0","1","6","2","0","1","9","12","6","0","0","0","0","0","0","0","0","0","0","0"
"L684",".ctor","Robots.Vector6d.Vector6d(double, double, double, double, double, double)void","L659","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Geometry\Vector6d.cs","30","5","38","6","0","0","0","0","0","0","0","0","0","0","0","9","9","1","0","0","0","0","6","6","0","0","9","9","6","0","0","1","0","0","0","0","0","0","0","1"
"L697",".ctor","Robots.Vector6d.Vector6d(double[])void","L659","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Geometry\Vector6d.cs","40","5","51","6","0","0","0","0","0","0","0","0","0","0","0","11","12","2","0","0","0","0","8","1","0","0","11","12","8","0","0","0","0","0","0","0","0","0","0","0"
"L699","get_Item","Robots.Vector6d.this[int].getdouble","L659","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Geometry\Vector6d.cs","55","9","64","11","0","0","0","0","0","0","0","0","0","0","0","9","10","1","0","0","0","0","0","1","0","0","9","10","0","0","0","0","0","0","0","0","0","0","0","0"
"L676","set_Item","Robots.Vector6d.this[int].setvoid","L659","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Geometry\Vector6d.cs","66","9","79","10","0","0","0","0","0","0","0","0","0","0","0","14","14","7","0","0","0","0","14","2","0","0","14","14","14","0","0","0","0","0","0","0","0","0","0","0"
"L703","ToArray","Robots.Vector6d.ToArray()double[]","L659","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Geometry\Vector6d.cs","82","5","85","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L705","CleanAllLocal","Robots.File3dmCleaner.CleanAllLocal()string","L704","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\CleanFile3dm.cs","13","5","133","6","0","0","0","0","0","0","0","8","3","0","0","75","116","16","0","0","0","0","44","0","0","8","75","121","44","0","0","3","0","0","1","0","1","0","0","2"
"L748","List","Robots.FileIO.List(Robots.ElementType)List<string>","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","14","5","28","6","0","0","0","0","0","0","0","0","0","0","0","12","15","3","0","0","0","1","7","1","0","0","12","15","7","0","0","0","0","0","0","0","0","0","0","0"
"L755","ParseRobotSystem","Robots.FileIO.ParseRobotSystem(string, Plane)Robots.RobotSystem","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","30","5","34","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L761","LoadRobotSystem","Robots.FileIO.LoadRobotSystem(string, Plane, bool)Robots.RobotSystem","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","36","5","40","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","3","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L768","LoadTool","Robots.FileIO.LoadTool(string)Robots.Tool","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","42","5","46","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L774","LoadFrame","Robots.FileIO.LoadFrame(string)Robots.Frame","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","48","5","52","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L780","get_OnlineLibraryPath","Robots.FileIO.OnlineLibraryPath.getstring","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","70","9","78","10","0","0","0","0","0","0","0","5","5","0","0","5","9","1","0","0","0","0","2","0","0","5","5","9","2","0","0","0","0","0","0","0","0","0","0","0"
"L782","GetLibraryPaths","Robots.FileIO.GetLibraryPaths()IEnumerable<string>","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","81","5","85","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L753","GetLibraries","Robots.FileIO.GetLibraries()IEnumerable<string>","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","87","5","108","6","0","0","0","0","0","0","0","0","0","0","0","17","22","5","0","0","0","1","10","0","0","0","17","22","10","0","0","0","0","0","0","0","0","0","0","0"
"L788","GetTypeElements","Robots.FileIO.GetTypeElements(XElement, Robots.ElementType)IEnumerable<XElement>","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","110","5","118","6","0","0","0","0","0","0","0","0","0","0","0","7","9","2","0","0","0","0","4","2","0","0","7","9","4","0","0","0","0","0","0","0","0","0","0","0"
"L766","LoadElement","Robots.FileIO.LoadElement(string, Robots.ElementType)(XElement element, string file)","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","120","5","135","6","0","0","0","0","0","0","0","0","0","0","0","13","16","4","0","0","0","1","8","2","0","0","13","16","8","0","0","0","0","0","0","0","0","0","0","0"
"L810","CreateRobotSystem","Robots.FileIO.CreateRobotSystem(XElement, Plane, bool)Robots.RobotSystem","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","137","5","173","6","0","0","0","0","0","0","0","0","0","0","0","28","37","6","0","0","0","8","13","3","0","0","28","37","13","0","0","0","0","0","1","0","0","0","0","0"
"L860","CreateMechanicalGroup","Robots.FileIO.CreateMechanicalGroup(XElement, bool)Robots.MechanicalGroup","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","175","5","184","6","0","0","0","0","0","0","0","0","0","0","0","8","10","3","0","0","0","1","5","2","0","0","8","10","5","0","0","0","0","0","0","0","0","0","0","0"
"L868","CreateMechanism","Robots.FileIO.CreateMechanism(XElement, bool)Robots.Mechanism","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","186","5","251","6","0","0","0","0","0","0","0","0","0","0","0","52","66","6","0","0","0","24","28","2","0","0","52","66","28","0","0","1","0","0","1","0","0","1","0","0"
"L945","CreateIO","Robots.FileIO.CreateIO(XElement?, Robots.Manufacturers)Robots.IO","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","253","5","273","6","0","0","0","0","0","0","0","0","0","0","0","16","14","4","0","0","0","2","11","2","0","0","16","21","11","0","0","0","0","0","0","0","0","0","0","0"
"L961","CreateTool","Robots.FileIO.CreateTool(XElement)Robots.Tool","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","275","5","297","6","0","0","0","0","0","0","0","0","0","0","0","17","23","2","0","0","0","8","14","1","0","0","17","23","14","0","0","0","0","0","0","0","0","0","0","0"
"L967","CreateFrame","Robots.FileIO.CreateFrame(XElement)Robots.Frame","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","299","5","319","6","0","0","0","0","0","0","0","0","0","0","0","16","21","6","0","0","0","6","13","1","0","0","16","21","13","0","0","0","0","0","0","0","0","0","0","0"
"L877","CreatePlane","Robots.FileIO.CreatePlane(XElement)Plane","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","321","5","334","6","0","0","0","0","0","0","0","0","0","0","0","13","14","1","0","0","0","1","10","1","0","0","13","14","10","0","0","0","0","0","0","0","0","0","0","0"
"L963","CreatePoint","Robots.FileIO.CreatePoint(XElement)Point3d?","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","336","5","349","6","0","0","0","0","0","0","0","0","0","0","0","13","14","4","0","0","0","2","6","1","0","0","13","14","6","0","0","0","0","0","0","0","0","0","0","0"
"L976","GetRhinoDoc","Robots.FileIO.GetRhinoDoc(string, Robots.ElementType)File3dm","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","351","5","360","6","0","0","0","0","0","0","0","0","0","0","0","8","10","2","0","0","0","1","5","2","0","0","8","10","5","0","0","0","0","0","0","0","0","0","0","0"
"L982","GetMechanismMeshes","Robots.FileIO.GetMechanismMeshes(string, string, string, Robots.Manufacturers, int)List<Mesh>","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","362","5","390","6","0","0","0","0","0","0","0","0","0","0","0","22","29","6","0","0","0","1","16","5","0","0","22","29","16","0","0","0","0","0","0","0","0","0","0","0"
"L965","GetToolMesh","Robots.FileIO.GetToolMesh(string)Mesh","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","392","5","408","6","0","0","0","0","0","0","0","0","0","0","0","14","17","3","0","0","0","1","10","1","0","0","14","17","10","0","0","0","0","0","0","0","0","0","0","0"
"L875","GetElement","Robots.FileIO.GetElement(XElement, string)XElement","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","412","5","416","6","0","0","0","0","0","0","0","1","1","0","0","5","5","2","0","0","0","0","1","2","0","1","5","5","1","0","0","0","0","0","0","0","0","0","0","0"
"L819","GetElementOrDefault","Robots.FileIO.GetElementOrDefault(XElement, string)XElement?","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","418","5","421","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L814","GetAttribute","Robots.FileIO.GetAttribute(XElement, string)string","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","423","5","427","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L871","GetBoolAttributeOrDefault","Robots.FileIO.GetBoolAttributeOrDefault(XElement, string)bool","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","429","5","433","6","0","0","0","0","0","0","0","0","0","0","0","5","5","3","0","0","0","0","3","2","0","0","5","5","3","0","0","0","0","0","0","0","0","0","0","0"
"L974","AttributeExists","Robots.FileIO.AttributeExists(XElement, string)bool","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","435","5","438","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","2","2","0","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0"
"L873","GetDoubleAttribute","Robots.FileIO.GetDoubleAttribute(XElement, string)double","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","440","5","444","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L1018","GetDoubleAttributeOrDefault","Robots.FileIO.GetDoubleAttributeOrDefault(XElement, string)double?","L707","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","446","5","450","6","0","0","0","0","0","0","0","0","0","0","0","5","5","3","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
