"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L104","Build","Build","L100","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","11","1","128","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","93","118","0","6","0","0","0","0","6","15","0","13","6","15","0","0","0","0","0","4","0","13","6","0","14","15","0","0","93","118","0","6","0","6","15","0","13","6","15","4","0","13","6","18","0","0","4","0","0","0","0","1","0","0","1","0","2"
"L1166","App","ColorPickerDemo.App","L1158","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\App.axaml.cs","7","1","23","2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","15","17","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","1","0","4","0","2","0","0","3","3","0","0","15","17","0","0","0","0","2","0","2","0","2","4","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1177","HexToColorConverter","ColorPickerDemo.HexToColorConverter","L1158","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\HexToColorConverter.cs","9","1","47","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","37","39","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","11","0","2","0","0","3","2","0","0","37","39","0","0","0","0","2","0","2","0","2","11","0","2","0","10","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1172","MainWindow","ColorPickerDemo.MainWindow","L1158","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\MainWindow.axaml.cs","8","1","91","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","49","84","0","7","0","0","0","0","7","16","0","15","7","16","0","0","0","0","0","10","0","15","7","0","16","16","0","0","49","84","0","7","0","7","16","0","15","7","16","10","0","15","7","16","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L1260","Program","ColorPickerDemo.Program","L1158","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\Program.cs","8","1","22","2","0.333333","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","10","15","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","0","0","2","0","1","2","2","0","1","10","15","0","0","0","0","2","0","2","0","2","0","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1270","UInt32ToColorConverter","ColorPickerDemo.UInt32ToColorConverter","L1158","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\UInt32ToColorConverter.cs","9","1","44","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","34","36","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","10","0","2","0","0","3","2","0","0","34","36","0","0","0","0","2","0","2","0","2","10","0","2","0","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L209","ColorPicker","ThemeEditor.Controls.ColorPicker.ColorPicker","L178","L177","D:\DataCollection\repos\wieslawsoltes_ColorPicker\src\ThemeEditor.Controls.ColorPicker\ColorPicker.cs","13","1","91","2","0","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","62","79","0","1","0","0","0","0","1","4","0","2","1","4","0","0","0","9","0","19","0","2","1","0","3","13","0","0","62","79","0","1","0","1","4","0","2","1","4","19","0","2","1","13","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L331","ColorPickerAreaSlider","ThemeEditor.Controls.ColorPicker.ColorPickerAreaSlider","L178","L177","D:\DataCollection\repos\wieslawsoltes_ColorPicker\src\ThemeEditor.Controls.ColorPicker\ColorPickerAreaSlider.cs","12","1","206","2","0","1","0","0.122087","1","5","0","1","0.158974","0.157576","5","0","0","4","31","26","160","195","0","2","0","0","0","0","2","18","0","7","2","18","0","0","0","0","0","74","0","7","2","0","8","18","0","5","160","195","0","2","0","2","18","0","7","2","18","74","0","7","2","46","0","0","13","0","0","0","11","1","0","0","1","0","0"
"L386","ColorPickerHelpers","ThemeEditor.Controls.ColorPicker.ColorPickerHelpers","L178","L177","D:\DataCollection\repos\wieslawsoltes_ColorPicker\src\ThemeEditor.Controls.ColorPicker\ColorPickerHelpers.cs","8","1","60","2","0.285714","2","0","0","0","0","0","0","0","0","1","0","1","8","0","0","43","53","0","0","0","0","0","0","0","8","0","6","0","8","0","0","0","9","0","15","0","6","0","2","5","17","0","1","43","53","0","0","0","0","8","0","6","0","8","15","0","6","0","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L517","ColorPickerHorizontalSlider","ThemeEditor.Controls.ColorPicker.ColorPickerHorizontalSlider","L178","L177","D:\DataCollection\repos\wieslawsoltes_ColorPicker\src\ThemeEditor.Controls.ColorPicker\ColorPickerHorizontalSlider.cs","11","1","189","2","0","1","0","0.144357","1","5","0","1","0.173184","0.171053","5","0","0","4","31","26","150","179","0","1","0","0","0","0","1","15","0","3","1","15","0","0","0","0","0","70","0","3","1","0","4","15","0","5","150","179","0","1","0","1","15","0","3","1","15","70","0","3","1","39","0","0","13","0","0","0","11","1","0","0","1","0","0"
