"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L115","Main","Build.Main()int","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","13","5","13","64","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L127","get_Configuration","Build.Configuration.getstring","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","22","35","22","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L133","set_Configuration","Build.Configuration.setvoid","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","22","40","22","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L138","get_VersionSuffix","Build.VersionSuffix.getstring","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","25","35","25","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L141","set_VersionSuffix","Build.VersionSuffix.setvoid","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","25","40","25","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L143","get_PublishFramework","Build.PublishFramework.getstring","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","28","38","28","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L146","set_PublishFramework","Build.PublishFramework.setvoid","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","28","43","28","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L148","get_PublishRuntime","Build.PublishRuntime.getstring","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","31","36","31","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L151","set_PublishRuntime","Build.PublishRuntime.setvoid","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","31","41","31","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L153","get_PublishProject","Build.PublishProject.getstring","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","34","36","34","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L156","set_PublishProject","Build.PublishProject.setvoid","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","34","41","34","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L158","get_PublishSelfContained","Build.PublishSelfContained.getbool","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","37","40","37","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L164","set_PublishSelfContained","Build.PublishSelfContained.setvoid","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","37","45","37","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L166","OnBuildInitialized","Build.OnBuildInitialized()void","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","45","5","49","6","0","0","0","0","0","0","0","0","0","0","0","5","5","3","0","0","0","4","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L171","DeleteDirectories","Build.DeleteDirectories(IReadOnlyCollection<string>)void","L104","L103","D:\DataCollection\repos\wieslawsoltes_ColorPicker\build\build\Build.cs","51","5","57","6","0","0","0","0","0","0","0","0","0","0","0","7","7","2","0","0","0","0","2","1","0","0","7","7","2","0","0","0","0","0","0","0","0","0","0","0"
"L1170","Initialize","ColorPickerDemo.App.Initialize()void","L1166","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\App.axaml.cs","9","5","12","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1171","OnFrameworkInitializationCompleted","ColorPickerDemo.App.OnFrameworkInitializationCompleted()void","L1166","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\App.axaml.cs","14","5","22","6","0","0","0","0","0","0","0","0","0","0","0","8","9","2","0","0","0","1","3","0","0","0","8","9","3","0","0","0","0","0","0","0","0","0","0","0"
"L1181","Convert","ColorPickerDemo.HexToColorConverter.Convert(object?, Type, object?, CultureInfo)object?","L1177","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\HexToColorConverter.cs","13","5","30","6","0","0","0","0","0","0","0","0","0","0","0","18","18","6","0","0","0","0","6","4","0","0","18","18","6","0","0","0","0","0","0","0","0","0","0","0"
"L1186","ConvertBack","ColorPickerDemo.HexToColorConverter.ConvertBack(object?, Type, object?, CultureInfo)object?","L1177","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\HexToColorConverter.cs","32","5","46","6","0","0","0","0","0","0","0","0","0","0","0","15","15","4","0","0","0","0","5","4","0","0","15","15","5","0","0","0","0","0","0","0","0","0","0","0"
"L1216","get_Color","ColorPickerDemo.MainWindow.Color.getColor?","L1172","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\MainWindow.axaml.cs","33","9","33","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1219","set_Color","ColorPickerDemo.MainWindow.Color.setvoid","L1172","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\MainWindow.axaml.cs","34","9","34","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1221","get_NullColor","ColorPickerDemo.MainWindow.NullColor.getColor?","L1172","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\MainWindow.axaml.cs","39","9","39","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1224","set_NullColor","ColorPickerDemo.MainWindow.NullColor.setvoid","L1172","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\MainWindow.axaml.cs","40","9","40","51","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1226","get_Hex","ColorPickerDemo.MainWindow.Hex.getstring?","L1172","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\MainWindow.axaml.cs","45","9","45","38","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1229","set_Hex","ColorPickerDemo.MainWindow.Hex.setvoid","L1172","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\MainWindow.axaml.cs","46","9","46","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1231","get_NullHex","ColorPickerDemo.MainWindow.NullHex.getstring?","L1172","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\MainWindow.axaml.cs","51","9","51","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1234","set_NullHex","ColorPickerDemo.MainWindow.NullHex.setvoid","L1172","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\MainWindow.axaml.cs","52","9","52","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1236","get_Value","ColorPickerDemo.MainWindow.Value.getuint","L1172","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\MainWindow.axaml.cs","57","9","57","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1239","set_Value","ColorPickerDemo.MainWindow.Value.setvoid","L1172","L1157","D:\DataCollection\repos\wieslawsoltes_ColorPicker\samples\ColorPickerDemo\MainWindow.axaml.cs","58","9","58","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
