"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L950","Program","Program","L100","L949","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\samples\AvaloniaDemo.Web\Program.cs","9","1","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","7","8","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","0","0","1","0","0","2","2","0","0","7","8","0","0","0","0","2","0","1","0","2","0","0","1","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L960","Build","Build","L100","L959","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\build\build\Build.cs","11","1","128","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","93","118","0","6","0","0","0","0","6","15","0","13","6","15","0","0","0","0","0","4","0","13","6","0","14","15","0","0","93","118","0","6","0","6","15","0","13","6","15","4","0","13","6","18","0","0","4","0","0","0","0","1","0","0","1","0","2"
"L896","App","AvaloniaDemo.App","L890","L889","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\samples\AvaloniaDemo.Base\App.axaml.cs","7","1","27","2","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","19","21","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","2","0","6","0","2","0","0","3","4","0","0","19","21","0","0","0","0","2","0","2","0","2","6","0","2","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L907","MainView","AvaloniaDemo.MainView","L890","L889","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\samples\AvaloniaDemo.Base\MainView.axaml.cs","10","1","80","2","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","64","71","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","4","0","29","0","1","0","0","2","8","0","0","64","71","0","0","0","0","4","0","1","0","4","29","0","1","0","20","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L902","MainWindow","AvaloniaDemo.MainWindow","L890","L889","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\samples\AvaloniaDemo.Base\MainWindow.axaml.cs","7","1","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","10","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","2","0","1","0","0","2","1","0","0","8","10","0","0","0","0","1","0","1","0","1","2","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L940","Program","AvaloniaDemo.Program","L890","L937","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\samples\AvaloniaDemo.Desktop\Program.cs","7","1","26","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","20","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","4","0","1","0","0","2","2","0","0","19","20","0","0","0","0","2","0","1","0","2","4","0","1","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L143","MatrixHelper","Avalonia.Controls.PanAndZoom.MatrixHelper","L104","L103","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\src\Avalonia.Controls.PanAndZoom\MatrixHelper.cs","8","1","142","2","1","0","0","0","0","0","0","0","0","0","77","0","77","6","0","0","51","135","0","0","0","0","0","0","0","11","0","11","0","11","0","0","0","0","0","13","0","11","0","12","0","11","0","77","51","135","0","0","0","0","11","0","11","0","11","13","0","11","0","11","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L252","ZoomBorder","Avalonia.Controls.PanAndZoom.ZoomBorder","L104","L103","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\src\Avalonia.Controls.PanAndZoom\ZoomBorder.cs","14","1","789","2","1","5","0","0.120601","2","22","0","6","0.103093","0.134653","234","0","232","9","80","68","783","1350","0","24","0","0","0","0","24","101","0","65","22","101","0","0","0","5","0","320","0","65","22","66","0","106","0","234","784","1350","0","24","0","24","101","0","65","22","101","320","0","65","22","191","0","0","57","0","0","4","37","1","3","1","0","0","15"
"L423","ZoomChangedEventArgs","Avalonia.Controls.PanAndZoom.ZoomChangedEventArgs","L104","L103","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\src\Avalonia.Controls.PanAndZoom\ZoomChangedEventArgs.cs","8","1","44","2","1","0","0","0","0","0","0","0","0","0","22","0","22","0","0","0","14","37","0","4","0","0","0","0","4","5","0","5","0","5","0","0","0","0","0","4","0","5","0","6","0","5","0","22","14","37","0","4","0","4","5","0","5","0","5","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1023","MatrixHelperTests","Avalonia.Controls.PanAndZoom.UnitTests.MatrixHelperTests","L1018","L1017","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\tests\Avalonia.Controls.PanAndZoom.UnitTests\MatrixHelperTests.cs","5","1","30","2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","25","26","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","14","0","2","0","0","3","2","0","0","25","26","0","0","0","0","2","0","2","0","2","14","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
