"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L953","Main","Program.Main(string[])Task","L950","L949","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\samples\AvaloniaDemo.Web\Program.cs","11","5","12","65","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L958","BuildAvaloniaApp","Program.BuildAvaloniaApp()AppBuilder","L950","L949","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\samples\AvaloniaDemo.Web\Program.cs","14","5","15","40","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L967","Main","Build.Main()int","L960","L959","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\build\build\Build.cs","13","5","13","64","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L976","get_Configuration","Build.Configuration.getstring","L960","L959","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\build\build\Build.cs","22","35","22","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L979","set_Configuration","Build.Configuration.setvoid","L960","L959","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\build\build\Build.cs","22","40","22","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L981","get_VersionSuffix","Build.VersionSuffix.getstring","L960","L959","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\build\build\Build.cs","25","35","25","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L984","set_VersionSuffix","Build.VersionSuffix.setvoid","L960","L959","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\build\build\Build.cs","25","40","25","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L986","get_PublishFramework","Build.PublishFramework.getstring","L960","L959","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\build\build\Build.cs","28","38","28","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L989","set_PublishFramework","Build.PublishFramework.setvoid","L960","L959","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\build\build\Build.cs","28","43","28","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L991","get_PublishRuntime","Build.PublishRuntime.getstring","L960","L959","D:\DataCollection\repos\wieslawsoltes_PanAndZoom\build\build\Build.cs","31","36","31","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
