"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L181","KimonoSketch","KimonoCore.KimonoSketch","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore.Windows\Classes\KimonoSketch.cs","14","5","32","6","0.739726","30","0","0.257562","15","89","0","18","0","0","862","1","247","1","0","0","1560","2617","0","23","0","0","0","0","22","85","0","72","15","91","1","0","0","78","1","730","0","78","15","54","19","163","0","862","1563","2617","0","23","0","22","85","0","72","15","91","730","0","78","15","322","0","0","103","0","0","13","53","0","8","9","1","0","32"
"L1131","Kimono","KimonoCore.Kimono","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\Kimono.cs","9","2","260","3","1","1","0","0","0","0","0","0","0","0","88","0","46","4","0","0","117","252","0","0","0","0","0","0","0","8","0","8","0","8","0","0","0","1","0","47","0","8","0","9","0","9","0","124","117","252","0","0","0","0","18","0","18","0","18","47","0","18","0","23","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L1226","KimonoPortfolio","KimonoCore.KimonoPortfolio","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\KimonoPortfolio.cs","12","2","1887","3","0.805195","34","0","0.336271","12","86","0","15","0.234009","0.326382","820","1","310","6","439","313","963","1876","0","13","0","0","0","0","12","93","0","76","12","99","1","0","0","107","1","486","0","82","12","62","15","200","0","820","970","1876","0","13","0","12","93","0","76","12","99","486","0","82","12","243","0","0","94","0","0","8","50","1","5","13","1","0","24"
"L1995","KimonoUndoHandler","KimonoCore.KimonoUndoHandler","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\KimonoUndoHandler.cs","9","2","161","3","1","2","0","0","0","0","0","0","0","0","77","0","47","1","0","0","57","153","0","5","0","0","0","0","5","14","0","13","3","14","0","0","0","2","0","28","0","13","3","14","0","16","0","77","58","153","0","5","0","5","14","0","13","3","14","28","0","13","3","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1616","KimonoShape","KimonoCore.KimonoShape","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\Shapes\KimonoShape.cs","11","2","748","3","0.785714","17","0","0.0950363","2","6","0","2","0.0704607","0.0818414","290","2","152","8","52","32","381","738","0","35","0","0","0","0","9","45","0","41","7","126","3","12","12","60","3","167","0","117","28","33","9","105","0","290","381","738","0","35","0","9","45","0","41","7","126","167","0","117","28","91","0","0","42","0","0","3","16","1","1","6","1","2","15"
"L2396","KimonoShapeArrow","KimonoCore.KimonoShapeArrow","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\Shapes\KimonoShapeArrow.cs","10","2","650","3","0.923077","14","0","0.197156","6","32","0","6","0.213729","0.243455","253","3","91","2","137","93","384","641","0","41","0","0","0","0","6","26","0","25","5","152","4","0","0","56","3","160","0","142","33","24","2","82","0","253","384","641","0","41","0","6","26","0","25","5","152","160","0","142","33","66","0","0","61","0","0","2","34","1","0","9","1","1","15"
"L2543","KimonoShapeBezier","KimonoCore.KimonoShapeBezier","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\Shapes\KimonoShapeBezier.cs","12","2","824","3","0.83871","15","0","0.306378","9","37","0","9","0.289053","0.389247","323","3","119","2","235","181","463","807","0","39","0","0","0","0","4","32","0","30","2","158","4","0","0","73","3","235","0","147","30","26","5","105","0","323","463","813","0","39","0","4","32","0","30","2","158","235","0","147","30","103","0","0","87","0","0","2","63","1","1","8","1","1","12"
"L1625","KimonoShapeGroup","KimonoCore.KimonoShapeGroup","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\Shapes\KimonoShapeGroup.cs","12","2","2523","3","0.78022","30","0","0.208843","11","45","0","17","0.169984","0.200275","1013","3","275","1","427","291","1431","2512","0","52","0","0","0","0","17","93","0","90","10","219","4","0","0","98","3","784","0","207","38","71","20","191","0","1013","1431","2512","0","52","0","17","93","0","90","10","219","784","0","207","38","331","0","0","165","0","0","10","105","0","7","19","1","1","32"
"L3111","KimonoShapeLine","KimonoCore.KimonoShapeLine","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\Shapes\KimonoShapeLine.cs","10","2","316","3","0.916667","12","0","0.468792","4","11","0","4","0.332248","0.448052","141","3","57","1","102","69","157","307","0","35","0","0","0","0","0","12","0","11","0","138","4","0","0","42","3","72","0","128","28","11","1","54","0","141","157","307","0","35","0","0","12","0","11","0","138","72","0","128","28","28","0","0","47","0","0","0","33","0","0","4","1","1","8"
"L3120","KimonoShapeOval","KimonoCore.KimonoShapeOval","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\Shapes\KimonoShapeOval.cs","10","2","324","3","0.916667","12","0","0.860494","8","31","0","8","0.647619","0.839506","141","3","57","2","204","136","165","315","0","35","0","0","0","0","0","12","0","11","0","138","4","0","0","47","3","76","0","128","28","11","1","59","0","141","165","315","0","35","0","0","12","0","11","0","138","76","0","128","28","30","0","0","72","0","0","0","56","1","0","5","1","1","8"
"L3132","KimonoShapePolygon","KimonoCore.KimonoShapePolygon","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\Shapes\KimonoShapePolygon.cs","10","2","440","3","0.875","14","0","0.429759","8","38","0","8","0.387471","0.48927","174","3","76","1","167","114","235","431","0","37","0","0","0","0","2","17","0","15","1","143","4","0","0","51","3","108","0","132","29","14","2","68","0","174","235","431","0","37","0","2","17","0","15","1","143","108","0","132","29","43","0","0","58","0","0","1","42","0","0","6","1","1","8"
"L3116","KimonoShapeRect","KimonoCore.KimonoShapeRect","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\Shapes\KimonoShapeRect.cs","10","2","325","3","0.916667","12","0","0.860494","8","31","0","8","0.64557","0.839506","141","3","57","2","204","136","165","316","0","35","0","0","0","0","0","12","0","11","0","138","4","0","0","47","3","76","0","128","28","11","1","59","0","141","165","316","0","35","0","0","12","0","11","0","138","76","0","128","28","30","0","0","72","0","0","0","56","1","0","5","1","1","8"
"L3124","KimonoShapeRoundRect","KimonoCore.KimonoShapeRoundRect","L112","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\Shapes\KimonoShapeRoundRect.cs","10","2","410","3","0.888889","14","0","0.360316","5","14","0","5","0.259352","0.34466","171","3","83","1","104","71","208","401","0","37","0","0","0","0","2","18","0","17","1","144","4","0","0","51","3","86","0","134","29","16","2","69","0","171","208","401","0","37","0","2","18","0","17","1","144","86","0","134","29","37","0","0","51","0","0","1","33","0","0","6","1","1","10"
