"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L186","ToImage","KimonoCore.KimonoSketch.ToImage()System.Drawing.Bitmap","L181","L103","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore.Windows\Classes\KimonoSketch.cs","21","9","30","10","0","0","0","0","0","0","0","5","4","0","0","9","10","1","0","0","0","1","6","0","0","5","9","10","6","0","0","0","0","0","0","0","0","0","0","0"
"L1424","get_UniqueID","KimonoCore.KimonoSketch.UniqueID.getstring","L181","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\KimonoSketch.cs","75","28","75","32","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L5944","set_UniqueID","KimonoCore.KimonoSketch.UniqueID.setvoid","L181","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\KimonoSketch.cs","75","33","75","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L5946","get_Portfolio","KimonoCore.KimonoSketch.Portfolio.getKimonoCore.KimonoPortfolio","L181","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\KimonoSketch.cs","82","38","82","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1452","set_Portfolio","KimonoCore.KimonoSketch.Portfolio.setvoid","L181","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\KimonoSketch.cs","82","43","82","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1796","get_ElementName","KimonoCore.KimonoSketch.ElementName.getstring","L181","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\KimonoSketch.cs","89","33","89","37","0","0","0","0","0","0","0","5","5","0","0","1","1","1","0","0","0","0","0","0","0","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L5952","set_ElementName","KimonoCore.KimonoSketch.ElementName.setvoid","L181","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\KimonoSketch.cs","89","38","89","42","0","0","0","0","0","0","0","5","5","0","0","1","1","1","0","0","0","0","0","1","0","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1367","get_Name","KimonoCore.KimonoSketch.Name.getstring","L181","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\KimonoSketch.cs","95","24","95","28","0","0","0","0","0","0","0","4","4","0","0","1","1","1","0","0","0","0","0","0","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1363","set_Name","KimonoCore.KimonoSketch.Name.setvoid","L181","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\KimonoSketch.cs","95","29","95","33","0","0","0","0","0","0","0","4","4","0","0","1","1","1","0","0","0","0","0","1","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L5957","get_GenerateCodeToOuputToCanvas","KimonoCore.KimonoSketch.GenerateCodeToOuputToCanvas.getbool","L181","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\KimonoSketch.cs","102","45","102","49","0","0","0","0","0","0","0","5","5","0","0","1","1","1","0","0","0","0","0","0","0","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L5961","set_GenerateCodeToOuputToCanvas","KimonoCore.KimonoSketch.GenerateCodeToOuputToCanvas.setvoid","L181","L103, L7728","D:\DataCollection\repos\xamarin_KimonoDesigner\KimonoCore\KimonoSketch.cs","102","50","102","54","0","0","0","0","0","0","0","5","5","0","0","1","1","1","0","0","0","0","0","1","0","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
