"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L24923","DynamicBooleanExtension","Rafy.DynamicBooleanExtension","L174","L6137","D:\DataCollection\repos\zgynhqf_Rafy\Rafy\Rafy\Env\Configuration\DynamicBoolean.cs","36","5","51","6","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","16","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","4","0","1","0","0","2","2","0","0","16","16","0","0","0","0","1","0","1","0","1","4","0","1","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L24945","RafyConfiguration","Rafy.RafyConfiguration","L174","L6137","D:\DataCollection\repos\zgynhqf_Rafy\Rafy\Rafy\Env\Configuration\RafyConfiguration.cs","31","5","73","6","1","2","0","0","0","0","0","0","0","0","9","0","7","1","0","0","24","43","0","2","0","0","0","0","2","4","0","3","1","4","0","0","0","1","0","8","0","3","1","4","0","5","0","9","24","43","0","2","0","2","4","0","3","1","4","8","0","3","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25571","EnvironmentProvider","Rafy.EnvironmentProvider","L174","L6137","D:\DataCollection\repos\zgynhqf_Rafy\Rafy\Rafy\Env\EnvironmentProvider.cs","27","5","104","6","0.916667","4","0","0","0","0","0","0","0","0","26","0","20","2","0","0","21","78","0","4","0","0","0","0","4","11","0","11","4","11","0","1","1","2","0","5","0","11","4","11","1","13","0","26","21","78","0","4","0","4","11","0","11","4","11","5","0","11","4","11","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L26658","AnonymousIdentity","Rafy.AnonymousIdentity","L174","L6137","D:\DataCollection\repos\zgynhqf_Rafy\Rafy\Rafy\Env\Permission\AnonymousIdentity.cs","26","5","53","6","0","1","0","0","0","0","0","0","0","0","0","1","0","4","0","0","12","28","0","1","0","0","0","0","0","4","0","0","0","5","1","0","0","0","1","4","0","1","0","0","1","4","0","0","12","28","0","1","0","0","4","0","0","0","5","4","0","1","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L26670","AnonymousPrincipal","Rafy.AnonymousPrincipal","L174","L6137","D:\DataCollection\repos\zgynhqf_Rafy\Rafy\Rafy\Env\Permission\AnonymousPrincipal.cs","25","5","39","6","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","11","15","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","2","0","0","0","0","1","2","0","0","11","15","0","0","0","0","2","0","0","0","2","2","0","0","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L26682","SystemOperationKeys","Rafy.SystemOperationKeys","L174","L6137","D:\DataCollection\repos\zgynhqf_Rafy\Rafy\Rafy\Env\Permission\SystemOperationKeys.cs","26","5","38","6","1","0","0","0","0","0","0","0","0","0","8","0","8","0","0","0","4","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","8","4","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12606","RafyEnvironment","Rafy.RafyEnvironment","L174","L6137","D:\DataCollection\repos\zgynhqf_Rafy\Rafy\Rafy\Env\RafyEnvironment.cs","40","5","216","6","0.913043","26","0","0","0","0","0","0","0","0","144","0","109","3","0","0","342","667","0","8","0","0","0","0","8","42","0","22","3","42","0","0","0","32","0","158","0","22","3","21","2","74","0","164","408","761","0","13","0","11","52","0","29","6","56","186","0","33","6","88","0","0","13","0","0","0","0","1","0","3","3","0","6"
"L17099","MPFV","Rafy.MPFV","L174","L6137","D:\DataCollection\repos\zgynhqf_Rafy\Rafy\Rafy\ManagedProperty\ManagedPropertyField.cs","276","5","306","6","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","28","31","0","0","0","0","0","0","0","2","0","2","0","3","1","0","0","0","1","8","0","3","0","0","3","2","0","0","28","31","0","0","0","0","2","0","2","0","3","8","0","3","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L29454","SerializationInfoContainer","Rafy.SerializationInfoContainer","L174","L6137","D:\DataCollection\repos\zgynhqf_Rafy\Rafy\Rafy\ManagedProperty\Serialization\Mobile\SerializationInfo.cs","16","5","235","6","0.294118","2","0","0","0","0","0","0","0","0","46","0","44","4","0","0","109","220","0","4","0","0","0","0","4","18","0","16","4","18","0","0","0","6","0","47","0","16","4","5","12","24","0","46","109","220","0","4","0","4","18","0","16","4","18","47","0","16","4","34","0","0","3","0","0","0","0","1","0","0","1","0","1"
"L30051","DelegateInfo","Rafy.DelegateInfo","L174","L6137","D:\DataCollection\repos\zgynhqf_Rafy\Rafy\Rafy\ManagedProperty\Serialization\Mobile\SerializationInfo.cs","237","5","245","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","0","0","4","2","0","5","4","0","0","8","9","0","2","0","2","4","0","4","2","4","0","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
