"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L115","DVector2","VectorMath.DVector2","L104","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\DVector2.cs","5","5","145","6","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","112","141","0","1","0","0","0","0","1","26","0","26","0","26","0","0","0","1","0","33","0","26","0","0","27","27","0","1","112","141","0","1","0","1","26","0","26","0","26","33","0","26","0","28","0","0","4","0","0","0","0","0","0","0","1","0","3"
"L252","MathHelper","VectorMath.MathHelper","L104","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\MathHelper.cs","5","5","65","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","47","61","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","0","0","23","0","6","0","0","7","6","0","0","47","61","0","0","0","0","6","0","6","0","6","23","0","6","0","14","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L320","RectangleD","VectorMath.RectangleD","L104","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\RectangleD.cs","3","5","62","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","46","60","0","8","0","0","0","0","8","22","0","13","8","22","0","0","0","0","0","17","0","13","8","0","14","22","0","0","46","60","0","8","0","8","22","0","13","8","22","17","0","13","8","28","0","0","4","0","0","0","0","0","0","0","1","0","3"
"L214","Vector2","VectorMath.Vector2","L104","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\Vector2.cs","5","5","78","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","59","74","0","3","0","0","0","0","3","18","0","18","2","18","0","0","0","0","0","16","0","18","2","0","19","18","0","0","59","74","0","3","0","3","18","0","18","2","18","16","0","18","2","18","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L9525","App","SpaceSim.App","L471","L1924","D:\DataCollection\repos\zlynn1990_SpaceSim\src\SpaceSim\App.xaml.cs","12","5","158","6","1","3","0","0","0","0","0","0","0","0","98","0","3","1","0","0","46","147","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","4","0","19","0","0","0","1","0","5","0","98","46","147","0","0","0","0","1","0","0","0","1","19","0","0","0","9","0","0","1","0","0","0","0","0","0","0","0","0","1"
"L3771","MainWindow","SpaceSim.MainWindow","L471","L1924","D:\DataCollection\repos\zlynn1990_SpaceSim\src\SpaceSim\MainWindow.xaml.cs","41","5","904","6","0.2","50","0","0","0","0","0","0","0","0","58","0","17","2","0","0","611","831","0","0","0","0","0","0","0","22","0","4","0","22","0","0","0","143","0","305","0","4","0","1","4","165","0","58","611","864","0","0","0","0","22","0","4","0","22","305","0","4","0","96","0","0","18","0","0","4","0","1","3","7","1","0","6"
"L892","App","Launcher.App","L884","L883","D:\DataCollection\repos\zlynn1990_SpaceSim\src\Launcher\App.xaml.cs","14","5","16","6","1","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L903","MainWindow","Launcher.MainWindow","L884","L883","D:\DataCollection\repos\zlynn1990_SpaceSim\src\Launcher\MainWindow.xaml.cs","19","5","194","6","0.5","6","0","0","0","0","0","0","0","0","10","0","3","3","0","0","130","176","0","0","0","0","0","0","0","6","0","1","0","6","0","0","0","13","0","71","0","1","0","1","1","19","0","10","130","176","0","0","0","0","6","0","1","0","6","71","0","1","0","26","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L932","MissionProfile","Launcher.MissionProfile","L884","L883","D:\DataCollection\repos\zlynn1990_SpaceSim\src\Launcher\MissionProfile.cs","7","5","12","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","0","0","4","2","0","5","4","0","0","5","6","0","2","0","2","4","0","4","2","4","0","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1152","CLSourceBase","OpenCLWrapper.CLSourceBase","L1140","L1139","D:\DataCollection\repos\zlynn1990_SpaceSim\src\OpenCLWrapper\CLSourceBase.cs","5","5","78","6","0","1","0","0","0","0","0","0","0","0","0","1","0","13","0","0","60","74","0","2","0","0","0","0","1","14","0","14","0","20","1","1","14","0","1","14","0","20","0","0","15","14","0","0","60","74","0","2","0","1","14","0","14","0","20","14","0","20","0","14","0","0","2","0","0","0","0","1","0","0","1","0","0"
