"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L119","get_Zero","VectorMath.DVector2.Zero.getVectorMath.DVector2","L115","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\DVector2.cs","8","39","8","73","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L129",".ctor","VectorMath.DVector2.DVector2()void","L115","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\DVector2.cs","13","9","13","30","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L122",".ctor","VectorMath.DVector2.DVector2(double, double)void","L115","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\DVector2.cs","15","9","19","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L137","Reset","VectorMath.DVector2.Reset()void","L115","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\DVector2.cs","21","9","25","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L138","Normalize","VectorMath.DVector2.Normalize()void","L115","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\DVector2.cs","27","9","36","10","0","0","0","0","0","0","0","1","0","0","0","7","10","3","0","0","0","1","5","0","0","1","7","10","5","0","0","0","0","0","0","0","0","0","0","0"
"L153","Normalized","VectorMath.DVector2.Normalized()VectorMath.DVector2","L115","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\DVector2.cs","38","9","41","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","3","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L158","Negate","VectorMath.DVector2.Negate()void","L115","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\DVector2.cs","43","9","47","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L156","Clone","VectorMath.DVector2.Clone()VectorMath.DVector2","L115","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\DVector2.cs","49","9","52","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L162","op_Addition","VectorMath.DVector2.operator +(VectorMath.DVector2, VectorMath.DVector2)VectorMath.DVector2","L115","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\DVector2.cs","54","9","57","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L169","op_Subtraction","VectorMath.DVector2.operator -(VectorMath.DVector2, VectorMath.DVector2)VectorMath.DVector2","L115","L103","D:\DataCollection\repos\zlynn1990_SpaceSim\src\VectorMath\DVector2.cs","59","9","62","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
