name,html_url,git_url,forks,stars,language,size,csharp_percent,csharp_lines,commit_count,default_branch
microsoft/PowerToys,https://github.com/microsoft/PowerToys,git://github.com/microsoft/PowerToys.git,5623,95672,C#,332957,0.5976377089812164,5278702,6855,main
dotnet/aspnetcore,https://github.com/dotnet/aspnetcore,git://github.com/dotnet/aspnetcore.git,9380,32682,C#,417269,0.9135577893294621,55913887,52355,main
files-community/Files,https://github.com/files-community/Files,git://github.com/files-community/Files.git,1925,28868,C#,198521,0.9797783542641296,2798246,5027,main
dotnet-architecture/eShopOnContainers,https://github.com/dotnet-architecture/eShopOnContainers,git://github.com/dotnet-architecture/eShopOnContainers.git,10435,24380,C#,660217,0.6358433413738431,721473,4337,dev
dotnet/maui,https://github.com/dotnet/maui,git://github.com/dotnet/maui.git,1371,19815,C#,175972,0.9926698374602185,24447169,13466,main
AvaloniaUI/Avalonia,https://github.com/AvaloniaUI/Avalonia,git://github.com/AvaloniaUI/Avalonia.git,1658,19753,C#,169123,0.9822180824698927,16929117,25979,master
dotnet/roslyn,https://github.com/dotnet/roslyn,git://github.com/dotnet/roslyn.git,3943,17836,C#,1913071,0.719561808216001,193982262,100927,main
Unity-Technologies/ml-agents,https://github.com/Unity-Technologies/ml-agents,git://github.com/Unity-Technologies/ml-agents.git,3956,15403,C#,3013304,0.558210763515247,1825448,3477,develop
QL-Win/QuickLook,https://github.com/QL-Win/QuickLook,git://github.com/QL-Win/QuickLook.git,1008,15071,C#,288361,0.523668647248653,378094,841,master
OpenRA/OpenRA,https://github.com/OpenRA/OpenRA,git://github.com/OpenRA/OpenRA.git,2587,13408,C#,310287,0.8152163458847261,6407907,29655,bleed
ppy/osu,https://github.com/ppy/osu,git://github.com/ppy/osu.git,1966,12914,C#,160906,0.9994318684938954,15383818,62689,master
dotnet/efcore,https://github.com/dotnet/efcore,git://github.com/dotnet/efcore.git,3012,12805,C#,174715,0.99152293356994,59571265,14460,release/8.0
dotnet/runtime,https://github.com/dotnet/runtime,git://github.com/dotnet/runtime.git,4171,12717,C#,822906,0.7935763597473824,384507673,129847,main
rocksdanister/lively,https://github.com/rocksdanister/lively,git://github.com/rocksdanister/lively.git,952,12244,C#,274255,0.838955588495496,1358926,739,core-separation
dotnet/AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,git://github.com/dotnet/AspNetCore.Docs.git,25560,11932,C#,823986,0.6046471348511178,8134044,16318,main
abpframework/abp,https://github.com/abpframework/abp,git://github.com/abpframework/abp.git,3185,11233,C#,780571,0.803819173722588,11995240,31816,dev
mono/mono,https://github.com/mono/mono,git://github.com/mono/mono.git,3830,10586,C#,579024,0.890427265649383,277490592,122592,main
JustArchiNET/ArchiSteamFarm,https://github.com/JustArchiNET/ArchiSteamFarm,git://github.com/JustArchiNET/ArchiSteamFarm.git,1042,9801,C#,230935,0.9654816411737566,1399959,11421,main
AutoMapper/AutoMapper,https://github.com/AutoMapper/AutoMapper,git://github.com/AutoMapper/AutoMapper.git,1729,9519,C#,127093,0.997904414357519,1881917,4128,master
cefsharp/CefSharp,https://github.com/cefsharp/CefSharp,git://github.com/cefsharp/CefSharp.git,2894,9429,C#,286425,0.8481326261988198,5973460,6369,master
