name,html_url,git_url,forks,stars,language,size,csharp_percent,csharp_lines,commit_count,default_branch,repo_path,status,time_taken
PeterWaher/IoTGateway,https://github.com/PeterWaher/IoTGateway,git://github.com/PeterWaher/IoTGateway.git,72,206,C#,10241832,0.9850516802853776,28756660,6455,master,D:\DataCollection\repos\PeterWaher_IoTGateway,,0
allenai/ai2thor,https://github.com/allenai/ai2thor,git://github.com/allenai/ai2thor.git,197,892,C#,9647416,0.7820264992062219,4151121,7023,main,D:\DataCollection\repos\allenai_ai2thor,,0
Realm667/WolfenDoom,https://github.com/Realm667/WolfenDoom,git://github.com/Realm667/WolfenDoom.git,26,247,C#,7436583,0.9527935300237969,3013725,11780,master,D:\DataCollection\repos\Realm667_WolfenDoom,,0
Unity-Technologies/Graphics,https://github.com/Unity-Technologies/Graphics,git://github.com/Unity-Technologies/Graphics.git,738,2240,C#,6433544,0.8125199684620923,33793180,26239,master,D:\DataCollection\repos\Unity-Technologies_Graphics,,0
UnityTechnologies/open-project-1,https://github.com/UnityTechnologies/open-project-1,git://github.com/UnityTechnologies/open-project-1.git,1999,5410,C#,4876097,0.8993135797693098,706695,1962,main,D:\DataCollection\repos\UnityTechnologies_open-project-1,,0
Azure/azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,git://github.com/Azure/azure-sdk-for-net.git,4324,4768,C#,4055249,0.9915417044157468,122211040,24000,main,D:\DataCollection\repos\Azure_azure-sdk-for-net,,0
msawczyn/EFDesigner,https://github.com/msawczyn/EFDesigner,git://github.com/msawczyn/EFDesigner.git,61,352,C#,2473617,0.9441672199989912,7469457,933,master,D:\DataCollection\repos\msawczyn_EFDesigner,,0
egordorichev/BurningKnight,https://github.com/egordorichev/BurningKnight,git://github.com/egordorichev/BurningKnight.git,32,308,C#,2333588,0.9975352540434498,3867517,3251,dev,D:\DataCollection\repos\egordorichev_BurningKnight,,0
AitorSimona/Traverser,https://github.com/AitorSimona/Traverser,git://github.com/AitorSimona/Traverser.git,15,158,C#,2306261,0.9687031173547168,479107,802,master,D:\DataCollection\repos\AitorSimona_Traverser,,0
ErikEJ/EFCorePowerTools,https://github.com/ErikEJ/EFCorePowerTools,git://github.com/ErikEJ/EFCorePowerTools.git,251,1742,C#,2299303,0.998823242533961,3997814,1727,master,D:\DataCollection\repos\ErikEJ_EFCorePowerTools,,0
GridProtectionAlliance/openPDC,https://github.com/GridProtectionAlliance/openPDC,git://github.com/GridProtectionAlliance/openPDC.git,59,112,C#,2277374,0.811725617807414,3501001,8922,master,D:\DataCollection\repos\GridProtectionAlliance_openPDC,,0
luiges90/ZHSan,https://github.com/luiges90/ZHSan,git://github.com/luiges90/ZHSan.git,50,152,C#,2246649,0.993524740730218,10015249,1332,master,D:\DataCollection\repos\luiges90_ZHSan,,0
AoTTG-2/AoTTG-2,https://github.com/AoTTG-2/AoTTG-2,git://github.com/AoTTG-2/AoTTG-2.git,52,255,C#,2204000,0.8813984605446546,3385195,1814,development,D:\DataCollection\repos\AoTTG-2_AoTTG-2,,0
CobaltWolf/Bluedog-Design-Bureau,https://github.com/CobaltWolf/Bluedog-Design-Bureau,git://github.com/CobaltWolf/Bluedog-Design-Bureau.git,135,115,C#,2158843,0.9988358336093892,211064,5864,master,D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau,,180
EnoxSoftware/OpenCVForUnity,https://github.com/EnoxSoftware/OpenCVForUnity,git://github.com/EnoxSoftware/OpenCVForUnity.git,165,507,C#,2032775,1.0,1617987,106,master,D:\DataCollection\repos\EnoxSoftware_OpenCVForUnity,,4
SparkDevNetwork/Rock,https://github.com/SparkDevNetwork/Rock,git://github.com/SparkDevNetwork/Rock.git,324,518,C#,2013234,0.8257731985763451,73148293,36304,develop,D:\DataCollection\repos\SparkDevNetwork_Rock,,37
DynamoDS/Dynamo,https://github.com/DynamoDS/Dynamo,git://github.com/DynamoDS/Dynamo.git,586,1462,C#,1994171,0.8869644796611594,18471783,31078,master,D:\DataCollection\repos\DynamoDS_Dynamo,,63
Unity-Technologies/VisualEffectGraph-Samples,https://github.com/Unity-Technologies/VisualEffectGraph-Samples,git://github.com/Unity-Technologies/VisualEffectGraph-Samples.git,349,1578,C#,1963357,1.0,104910,54,master,D:\DataCollection\repos\Unity-Technologies_VisualEffectGraph-Samples,,225
JosiahJack/Citadel,https://github.com/JosiahJack/Citadel,git://github.com/JosiahJack/Citadel.git,16,126,C#,1935686,0.750462533143192,2243925,733,master,D:\DataCollection\repos\JosiahJack_Citadel,,110
microsoft/MixedRealityToolkit-Unity,https://github.com/microsoft/MixedRealityToolkit-Unity,git://github.com/microsoft/MixedRealityToolkit-Unity.git,2163,5888,C#,1920532,0.9703057181556894,10238958,17113,main,D:\DataCollection\repos\microsoft_MixedRealityToolkit-Unity,,11
StockSharp/StockSharp,https://github.com/StockSharp/StockSharp,git://github.com/StockSharp/StockSharp.git,1605,5996,C#,1917638,1.0,4320122,8583,master,D:\DataCollection\repos\StockSharp_StockSharp,,6
dotnet/roslyn,https://github.com/dotnet/roslyn,git://github.com/dotnet/roslyn.git,3943,17836,C#,1913071,0.719561808216001,193982262,100927,main,D:\DataCollection\repos\dotnet_roslyn,,21
tawnkramer/sdsandbox,https://github.com/tawnkramer/sdsandbox,git://github.com/tawnkramer/sdsandbox.git,148,412,C#,1906489,0.7205905306132979,1117254,450,master,D:\DataCollection\repos\tawnkramer_sdsandbox,,220
Unity-Technologies/obstacle-tower-source,https://github.com/Unity-Technologies/obstacle-tower-source,git://github.com/Unity-Technologies/obstacle-tower-source.git,24,117,C#,1892095,0.739096468011317,202457,42,master,D:\DataCollection\repos\Unity-Technologies_obstacle-tower-source,failed: Failed to clone Unity-Technologies/obstacle-tower-source!,679
FirelyTeam/firely-net-sdk,https://github.com/FirelyTeam/firely-net-sdk,git://github.com/FirelyTeam/firely-net-sdk.git,332,749,C#,1832642,0.9994870864791552,47404721,7939,develop,D:\DataCollection\repos\FirelyTeam_firely-net-sdk,,53
Pyrdacor/Ambermoon.net,https://github.com/Pyrdacor/Ambermoon.net,git://github.com/Pyrdacor/Ambermoon.net.git,17,347,C#,1820077,0.9979435608780152,4117094,2161,master,D:\DataCollection\repos\Pyrdacor_Ambermoon.net,,6
WOA-Project/Lumia-Drivers,https://github.com/WOA-Project/Lumia-Drivers,git://github.com/WOA-Project/Lumia-Drivers.git,24,171,C#,1818422,0.7354830864022376,72576,247,main,D:\DataCollection\repos\WOA-Project_Lumia-Drivers,,241
Interactml/iml-unity,https://github.com/Interactml/iml-unity,git://github.com/Interactml/iml-unity.git,11,169,C#,1757960,0.8938841847260167,1870534,552,master,D:\DataCollection\repos\Interactml_iml-unity,,4
playgameservices/play-games-plugin-for-unity,https://github.com/playgameservices/play-games-plugin-for-unity,git://github.com/playgameservices/play-games-plugin-for-unity.git,962,3309,C#,1753210,0.9216204315279612,412321,123,master,D:\DataCollection\repos\playgameservices_play-games-plugin-for-unity,,1
umasteeringgroup/UMA,https://github.com/umasteeringgroup/UMA,git://github.com/umasteeringgroup/UMA.git,162,672,C#,1739296,0.9919234392351812,3320060,2748,master,D:\DataCollection\repos\umasteeringgroup_UMA,,88
ChristophGeske/ARCoreInsideOutTrackingGearVr,https://github.com/ChristophGeske/ARCoreInsideOutTrackingGearVr,git://github.com/ChristophGeske/ARCoreInsideOutTrackingGearVr.git,27,186,C#,1594200,0.9275159743759156,8550754,553,master,D:\DataCollection\repos\ChristophGeske_ARCoreInsideOutTrackingGearVr,,91
MediaBrowser/Emby,https://github.com/MediaBrowser/Emby,git://github.com/MediaBrowser/Emby.git,778,3631,C#,1567749,0.9556492333073864,7729528,15005,master,D:\DataCollection\repos\MediaBrowser_Emby,,17
Miraak7000/AssetViewer,https://github.com/Miraak7000/AssetViewer,git://github.com/Miraak7000/AssetViewer.git,22,109,C#,1538648,1.0,622851,114,master,D:\DataCollection\repos\Miraak7000_AssetViewer,,290
microsoft/GalaxyExplorer,https://github.com/microsoft/GalaxyExplorer,git://github.com/microsoft/GalaxyExplorer.git,346,931,C#,1514893,0.931619444991658,3991367,658,master,D:\DataCollection\repos\microsoft_GalaxyExplorer,,144
xamarin/ios-samples,https://github.com/xamarin/ios-samples,git://github.com/xamarin/ios-samples.git,1952,1589,C#,1499066,0.9751619261678006,7663781,3179,main,D:\DataCollection\repos\xamarin_ios-samples,,138
delmarle/RPG-Core,https://github.com/delmarle/RPG-Core,git://github.com/delmarle/RPG-Core.git,62,488,C#,1489912,0.8192254918636956,722434,226,master,D:\DataCollection\repos\delmarle_RPG-Core,,218
Unity-Technologies/VRAlchemyLab,https://github.com/Unity-Technologies/VRAlchemyLab,git://github.com/Unity-Technologies/VRAlchemyLab.git,73,252,C#,1467264,0.9820914467728872,577183,424,master,D:\DataCollection\repos\Unity-Technologies_VRAlchemyLab,,117
emu-russia/psxrev,https://github.com/emu-russia/psxrev,git://github.com/emu-russia/psxrev.git,17,137,C#,1436820,0.6645318562183433,504591,665,master,D:\DataCollection\repos\emu-russia_psxrev,,7
bitwarden/mobile,https://github.com/bitwarden/mobile,git://github.com/bitwarden/mobile.git,687,4988,C#,1396682,0.960944232495934,2553569,3727,master,D:\DataCollection\repos\bitwarden_mobile,,6
dudu502/LittleBee,https://github.com/dudu502/LittleBee,git://github.com/dudu502/LittleBee.git,76,337,C#,1364749,0.9820222382260502,10765571,106,master,D:\DataCollection\repos\dudu502_LittleBee,,190
Samsung/TizenFX,https://github.com/Samsung/TizenFX,git://github.com/Samsung/TizenFX.git,259,165,C#,1357735,0.9991227075124776,40568852,8042,master,D:\DataCollection\repos\Samsung_TizenFX,,20
OpenHogwarts/hogwarts,https://github.com/OpenHogwarts/hogwarts,git://github.com/OpenHogwarts/hogwarts.git,139,603,C#,1351598,0.7028192197998279,2338094,413,master,D:\DataCollection\repos\OpenHogwarts_hogwarts,,132
MonkSoul/Furion,https://github.com/MonkSoul/Furion,git://github.com/MonkSoul/Furion.git,368,2017,C#,1351152,0.9890914486216292,8426256,6758,v4,D:\DataCollection\repos\MonkSoul_Furion,,7
