k,sammon,kruskal,pso_mean_sammon,ga_mean_sammon,pso_mean_kruskal,ga_mean_kruskal
1,0.018,0.039,0.277,0.250,0.491,0.465
2,<0.001,<0.001,0.174,0.107,0.385,0.282
3,<0.001,<0.001,0.125,0.056,0.317,0.179
4,<0.001,<0.001,0.086,0.032,0.270,0.126
5,<0.001,<0.001,0.067,0.023,0.214,0.086
6,<0.001,<0.001,0.057,0.015,0.192,0.068
7,<0.001,<0.001,0.046,0.012,0.167,0.057
8,<0.001,<0.001,0.035,0.008,0.144,0.046
9,<0.001,<0.001,0.027,0.006,0.123,0.036
10,<0.001,<0.001,0.022,0.005,0.110,0.030
11,<0.001,<0.001,0.017,0.004,0.097,0.028
12,<0.001,<0.001,0.016,0.003,0.094,0.023
13,<0.001,<0.001,0.013,0.002,0.078,0.021
14,<0.001,<0.001,0.009,0.002,0.073,0.017
15,<0.001,<0.001,0.010,0.001,0.055,0.016
16,<0.001,<0.001,0.007,0.001,0.047,0.013
17,<0.001,<0.001,0.006,0.001,0.036,0.011
18,<0.001,<0.001,0.004,0.001,0.035,0.009
19,<0.001,<0.001,0.003,0.001,0.030,0.008
20,<0.001,<0.001,0.002,0.000,0.028,0.007
21,<0.001,<0.001,0.002,0.000,0.024,0.006
22,<0.001,<0.001,0.002,0.000,0.020,0.005
23,<0.001,<0.001,0.001,0.000,0.016,0.004
24,<0.001,<0.001,0.001,0.000,0.012,0.004
25,<0.001,<0.001,0.001,0.000,0.011,0.003
26,<0.001,<0.001,0.000,0.000,0.010,0.003
27,<0.001,<0.001,0.000,0.000,0.008,0.002
28,<0.001,<0.001,0.000,0.000,0.006,0.002
29,<0.001,<0.001,0.000,0.000,0.005,0.001
30,<0.001,<0.001,0.000,0.000,0.004,0.001
31,<0.001,<0.001,0.000,0.000,0.003,0.001
32,<0.001,<0.001,0.000,0.000,0.002,0.001
33,<0.001,<0.001,0.000,0.000,0.002,0.000
34,<0.001,<0.001,0.000,0.000,0.001,0.000
35,<0.001,<0.001,0.000,0.000,0.001,0.000
36,<0.001,<0.001,0.000,0.000,0.000,0.000
37,<0.001,<0.001,0.000,0.000,0.000,0.000
38,<0.001,<0.001,0.000,0.000,0.000,0.000
39,0.063,0.021,0.000,0.000,0.000,0.000
40,1.000,1.000,0.000,0.000,0.000,0.000
