k,sammon,kruskal,pso_mean_sammon,ga_mean_sammon,pso_mean_kruskal,ga_mean_kruskal
1,0.874,0.834,0.292,0.291,0.512,0.510
2,<0.001,<0.001,0.153,0.135,0.350,0.322
3,<0.001,<0.001,0.087,0.071,0.250,0.215
4,<0.001,<0.001,0.054,0.038,0.170,0.136
5,<0.001,<0.001,0.032,0.022,0.130,0.089
6,<0.001,<0.001,0.020,0.013,0.093,0.059
7,<0.001,<0.001,0.012,0.008,0.064,0.039
8,<0.001,<0.001,0.008,0.005,0.048,0.026
9,<0.001,<0.001,0.004,0.002,0.030,0.018
10,<0.001,<0.001,0.002,0.001,0.018,0.011
11,<0.001,0.003,0.001,0.000,0.010,0.007
12,0.003,0.006,0.000,0.000,0.005,0.003
13,0.467,0.689,0.000,0.000,0.000,0.000
14,1.000,1.000,0.000,0.000,0.000,0.000
