project_name,k,best_solution_pso_sammon,best_solution_pso_kruskal,best_fitness_pso_sammon,best_fitness_pso_kruskal,best_solution_ga_sammon,best_solution_ga_kruskal,best_fitness_ga_sammon,best_fitness_ga_kruskal
AlbertMN_AssistantComputerControl,1,"[0.33842509 0.14104911 0.17035333 0.81927272 0.74458489 0.78391649
 0.69197152 0.87405168 0.90035382 0.27849838 0.32780664 0.03102124
 0.97386682 0.65583065]","[0.23145529 0.81271415 0.57721486 0.71921722 0.83688098 0.4478042
 0.95379216 0.90746641 0.38280578 0.73537624 0.5458214  0.31561334
 0.96758436 0.76805167]",0.262679323673278,0.25472865832788955,"[0.35912039 0.80806554 0.67479296 0.56151408 0.57951271 0.38168603
 0.93316418 0.46554372 0.6462236  0.8545232  0.89912243 0.06694601
 0.96977416 0.16902648]","[0.48678102 0.92985609 0.79119693 0.57478863 0.53984489 0.91793086
 0.17012658 0.53564774 0.93830444 0.77751359 0.43372665 0.96618606
 0.97374037 0.30248752]",0.262679323673278,0.25472865832788955
AlbertMN_AssistantComputerControl,2,"[0.24405845 0.10051494 0.29555875 0.44421821 0.28482798 0.82791889
 0.08029131 0.25674094 0.18503737 0.60074198 0.68322478 0.280179
 0.75921706 0.50242662]","[0.25510563 0.60142666 0.51712963 0.67581699 0.81773323 0.20977946
 0.55857814 0.16898061 0.21911656 0.64915386 0.84805176 0.99115273
 0.99227981 0.89309421]",0.11392679945854493,0.13688119293261802,"[0.51637246 0.58649209 0.84027136 0.51717506 0.6810649  0.70704875
 0.28141636 0.23013179 0.62256731 0.6578118  0.4419427  0.26405902
 0.81463057 0.        ]","[0.71336564 0.66671921 0.5953382  0.         0.38109514 0.90002143
 0.88972272 0.25460303 0.06760994 0.89992444 0.53919189 0.23290065
 0.97913295 0.43864855]",0.11392679945854493,0.11250472993514803
AlbertMN_AssistantComputerControl,3,"[0.45713932 0.34307434 0.28087097 0.4249893  0.53856797 0.56436334
 0.43374484 0.52684196 0.44310397 0.32325454 0.50697083 0.85070007
 0.86752969 0.49674152]","[0.35837355 0.45918617 0.55024746 0.58685236 0.31509906 0.68529251
 0.39798954 0.54653789 0.63536452 0.48896916 0.50576286 0.75491386
 0.65747381 0.58515366]",0.05159376499754377,0.051131392010899626,"[0.24636042 0.67486472 0.58991717 0.33521308 0.56773406 0.80344758
 0.35934591 0.13727342 0.39710204 0.51290501 0.70481745 0.73539375
 1.         0.42201691]","[0.20737732 0.06667511 0.53663301 0.07525715 0.42004638 0.99905007
 0.46671843 0.62251854 0.67231805 0.46881318 0.35683093 0.74595045
 0.85140618 0.58111649]",0.05159376499754377,0.051131392010899626
AlbertMN_AssistantComputerControl,4,"[0.39230196 0.1981524  0.5124487  0.25918181 0.62359691 0.707673
 0.21023089 0.44656103 0.37981425 0.56539518 0.3672054  0.87668021
 0.663345   0.5529137 ]","[0.43272354 0.55195326 0.41722024 0.07702634 0.55631052 0.71873998
 0.24787785 0.47300293 0.27724568 0.55292605 0.38635955 0.82864629
 0.76336755 0.02335283]",0.02018252421130321,0.018261392839463937,"[0.70390693 0.4709927  0.85034828 0.24817465 0.89520724 0.92333166
 0.60377837 0.70057303 0.75886606 0.28834626 0.         0.88722346
 0.87395816 0.80113322]","[0.53815309 0.785006   0.57788491 0.57098986 0.93696311 0.93712331
 0.88090439 0.50649934 0.68801226 0.51500536 0.66863214 0.9117403
 0.95993096 0.51050789]",0.02018252421130321,0.018261392839463937
AlbertMN_AssistantComputerControl,5,"[0.33596218 0.30197266 0.5288556  0.41584004 0.60273472 0.72492576
 0.28936647 0.29740512 0.57923236 0.56247795 0.19251397 0.68655603
 0.68799182 0.54087792]","[0.55372845 0.3853915  0.36491927 0.87423386 0.91840357 1.
 0.11957084 0.19783932 0.         0.22912595 0.61009367 0.66809295
 1.         0.6369847 ]",0.00946256479305354,0.016531979301396688,"[0.66905065 0.233893   0.04362728 0.33127489 0.82673435 0.86511104
 0.45796532 0.01688679 1.         0.09984137 0.         1.
 0.77457434 0.70159051]","[0.         0.17915832 0.29924098 0.29046895 0.86808278 0.63379267
 0.27334141 0.21193415 0.17043078 0.58528797 0.6112376  0.73271615
 0.62886421 0.62085108]",0.00946256479305354,0.005634973255302412
AlbertMN_AssistantComputerControl,6,"[0.52992891 0.26477007 0.76610871 0.18502453 0.56245218 0.84915124
 0.76203464 0.32045594 0.73716316 0.26443297 0.37335308 0.57052149
 0.57840618 0.32041975]","[0.37013639 0.11483677 0.12359154 0.40389455 0.65437433 0.7051259
 0.5765117  0.3624604  0.46141031 0.4110154  0.30570016 0.67133335
 0.81126247 0.16210241]",0.026175309773549413,0.005330070636039271,"[0.61551163 0.4607443  0.4753364  0.46265241 0.99328891 0.83349496
 0.26557747 0.44490271 0.7263462  0.68953725 0.44706267 0.55877098
 0.77849913 0.93333798]","[0.2708468  0.04939939 0.0797157  0.71784663 0.78895686 0.94082154
 0.39411036 0.52939828 0.8699665  0.         0.4177379  0.77112991
 0.81130996 1.        ]",0.004858774315228346,0.0005157454439626457
AlbertMN_AssistantComputerControl,7,"[0.42435726 0.71156198 0.42240196 0.55885732 0.72970582 0.50145337
 0.43903342 0.11788616 0.41247232 0.27297108 0.39757457 0.53188612
 0.45367885 0.44245081]","[0.13907787 0.26355679 0.32042203 0.1803668  0.63718012 0.54426632
 0.69140777 0.22042117 0.51395642 0.40179848 0.36915898 0.54868252
 0.61249825 0.52712786]",0.006582563407068115,0.0004481089198515597,"[0.01325962 0.02661832 0.07359331 0.37750547 0.87397013 0.67700127
 0.65831246 0.40516466 0.6870279  0.83695686 0.51508035 0.80822329
 0.69575384 0.75062924]","[0.22551481 0.61950936 0.6195053  0.72942166 0.9454994  0.98351882
 0.09120283 0.37446513 0.75792857 0.64744684 0.15179045 0.83566344
 1.         0.82168955]",0.0028570636053620777,0.0002635679959851042
AlbertMN_AssistantComputerControl,8,"[0.67726893 0.22432423 0.32514504 0.0322864  0.3848086  0.43193679
 0.3781493  0.17141936 0.39587797 0.38183372 0.26924329 0.51903914
 0.71579982 0.45380616]","[0.02048088 0.09219489 0.12919502 0.44141438 0.88239675 0.94943237
 0.30152285 0.24591794 0.6601582  0.17918944 0.0687475  0.77348709
 0.41448252 0.58728391]",0.002855666752653286,0.00020194425151250794,"[0.19701713 0.86583095 0.24106973 0.         0.52049542 0.65288016
 0.36347461 0.00381199 0.70754725 1.         0.03743222 1.
 0.93397652 0.40893834]","[0.10964071 0.26273077 0.49972048 0.51563009 0.92485017 0.95844384
 0.45668319 0.48296895 0.62434326 0.43769664 0.66277378 0.80387593
 0.91172427 1.        ]",0.0015542464129240895,0.00012640985493129217
AlbertMN_AssistantComputerControl,9,"[0.33642891 0.84439039 0.79998878 0.80361565 0.46438064 0.42648388
 0.17554054 0.25576994 0.56482313 0.38479821 0.27824303 0.70325619
 0.3393539  0.16224038]","[0.15437623 0.15438714 0.4774549  0.50045874 0.72867374 0.65584373
 0.49761118 0.34950098 0.78744187 0.85163105 0.08137828 0.70375704
 0.53738779 0.56363981]",0.003940057306506367,0.00017854471253841975,"[0.07809648 1.         0.23615672 0.04878662 0.55555943 0.94471392
 0.         0.22546361 0.62418394 1.         0.68055583 0.38128082
 0.49059951 0.50859536]","[0.01666638 0.74588922 0.         0.84478618 0.76565187 0.48532678
 0.22408259 0.41897642 0.77406482 0.26574871 0.81497771 0.4590329
 0.98630604 0.64027394]",0.0009590683170944666,6.80015630687952e-05
AlbertMN_AssistantComputerControl,10,"[0.26328727 0.96983934 0.33560543 0.22763583 0.97100119 0.98039976
 0.19901859 0.9657867  0.64033934 0.71024729 0.76382825 0.80909799
 0.74229213 0.45619682]","[0.01010313 0.8370111  0.02650215 0.20264351 0.24691904 0.75353209
 0.01738503 0.01276787 0.82207669 0.32703875 0.28607988 0.67114129
 0.35633896 0.60126678]",0.000694561744855123,4.8504965063201006e-05,"[0.         0.44999544 0.22841926 0.29665768 0.83204324 0.42422805
 0.         0.12985248 0.81439932 0.35989822 0.44808818 0.48406415
 0.43680809 1.        ]","[0.         0.23421376 0.         0.84837645 0.85501471 0.77351853
 0.17806695 0.11780656 0.65285524 0.14463167 0.4709918  0.63300439
 0.39944636 0.47358669]",0.0005041521645767622,2.924036412201341e-05
